Disease_ID,Disease,I,S,P,Precision,Recall
EFO_0000401,Diabetic Nephropathy,3,0,0,0.0,
EFO_0000318,Cardiomyopathy,5,0,0,0.0,
MONDO_0008678,Williams-Beuren syndrome,33,0,0,0.0,
MONDO_0008056,myotonic dystrophy type 1,31,0,0,0.0,
MONDO_0001347,facioscapulohumeral muscular dystrophy,1,0,0,0.0,
MONDO_0010383,fragile X syndrome,17,0,0,0.0,
EFO_0000479,hemorrhagic thrombocythemia,7,0,0,0.0,
MONDO_0018544,adrenoleukodystrophy,50,0,0,0.0,
MONDO_0010726,Rett syndrome,37,0,0,0.0,
EFO_0002608,HIV encephalitis,1,0,0,0.0,
EFO_0000557,childhood type dermatomyositis,4,0,0,0.0,
EFO_0001065,endometriosis,8,0,0,0.0,
MONDO_0005184,pancreatic ductal adenocarcinoma,1,0,0,0.0,
EFO_1001345,alcoholic hepatitis,5,0,0,0.0,
MONDO_0002046,alcohol abuse,4,0,0,0.0,
EFO_0000770,malignant pleural mesothelioma,8,0,0,0.0,
EFO_0000702,lung small cell carcinoma,11,0,0,0.0,
